"year","fips","total_population","state_name","abbr","pack_sales_per_capita","tax_per_pack","baseline_price_per_pack","total_cigarette_consumption","baseline_state_tax_revenue","baseline_num_smokers","baseline_prev","census_total_pop","baseline_avg_smoking_intensity","policy_prev","pct_increase_price_per_pack","pct_reduction_intensity","policy_smoking_intensity","policy_num_smokers","policy_total_cig_consumption","policy_state_tax_revenue","revenue_gain"
2025,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,649716.550914008,0.128915160214031,5039877,411.898801598206,0.128915160214031,0,0,411.898801598206,649716.550914008,267617468.7,180641791.3725,0
2026,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,639472.723473082,0.12688260516538,5039877,418.49708185601,0.124940061747424,0.235849056603774,-0.0471698113207547,398.756653466576,629682.543579424,251090103.824052,671666027.72934,491024236.35684
2027,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,629795.637171002,0.124962501499739,5039877,424.927473143699,0.121562715304615,0.235849056603774,-0.0471698113207547,404.883724410506,612661.132921279,248056521.298727,663551194.474096,482909403.101596
2028,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,620663.207946094,0.1231504673519,5039877,431.179849673389,0.118662524889774,0.235849056603774,-0.0471698113207547,410.841177518984,598044.529953899,245701318.895047,657251028.044251,476609236.671751
2029,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,612056.673365492,0.121442779926076,5039877,437.242955343436,0.116148083440722,0.235849056603774,-0.0471698113207547,416.618287638557,585372.054326977,243876702.90517,652370180.271329,471728388.898829
2030,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,603959.328906757,0.119836124752004,5039877,443.105116340237,0.113949409905235,0.235849056603774,-0.0471698113207547,422.203931607207,574291.010144968,242467922.36988,648601692.339429,467959900.966929
2031,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,596355.82446519,0.118327456099661,5039877,448.754682558854,0.112012497912184,0.235849056603774,-0.0471698113207547,427.587008853248,564529.211940164,241385357.143776,645705830.3596,465064038.9871
2032,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,589231.492618662,0.116913863695217,5039877,454.180525060965,0.110295298354567,0.235849056603774,-0.0471698113207547,432.756915388278,555874.737385322,240558636.693141,643494353.154153,462852561.781653
2033,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,582571.975931915,0.115592498771679,5039877,459.372369005399,0.108764879299828,0.235849056603774,-0.0471698113207547,437.703861033446,548161.613590979,239932454.739095,641819316.42708,461177525.054579
2034,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,576362.925940659,0.114360514342048,5039877,464.321101610122,0.107395239258639,0.235849056603774,-0.0471698113207547,442.419162854928,541258.796249111,239463263.524398,640564229.927764,459922438.555264
